ID,child_mean_cum_coh_sif,child_max_cum_coh_sif,child_min_cum_coh_sif,child_mean_cum_coh_bert,child_max_cum_coh_bert,child_min_cum_coh_bert,child_mean_cum_coh_elmo,child_max_cum_coh_elmo,child_min_cum_coh_elmo,chair_mean_cum_coh_sif,chair_max_cum_coh_sif,chair_min_cum_coh_sif,chair_mean_cum_coh_bert,chair_max_cum_coh_bert,chair_min_cum_coh_bert,chair_mean_cum_coh_elmo,chair_max_cum_coh_elmo,chair_min_cum_coh_elmo,gift_mean_cum_coh_sif,gift_max_cum_coh_sif,gift_min_cum_coh_sif,gift_mean_cum_coh_bert,gift_max_cum_coh_bert,gift_min_cum_coh_bert,gift_mean_cum_coh_elmo,gift_max_cum_coh_elmo,gift_min_cum_coh_elmo,suit_mean_cum_coh_sif,suit_max_cum_coh_sif,suit_min_cum_coh_sif,suit_mean_cum_coh_bert,suit_max_cum_coh_bert,suit_min_cum_coh_bert,suit_mean_cum_coh_elmo,suit_max_cum_coh_elmo,suit_min_cum_coh_elmo
H01,-0.11672202500127495,0.0679299687569165,-0.2715266472759702,0.7375564575195312,0.8241881132125854,0.6759649515151978,0.22127807140350342,0.46697860956192017,-0.007806410547345877,-0.11623024180099943,0.34335951980754936,-0.3329681489769802,0.7124953866004944,0.8571838736534119,0.6113128066062927,0.2857484817504883,0.5939143896102905,0.1823265105485916,-0.05318423613295993,0.0952887526564529,-0.13685062688353425,0.7139104008674622,0.7954422235488892,0.5979037880897522,0.4311068058013916,0.5756056308746338,0.2835473418235779,0.0678319761031508,0.5776070247931501,-0.13547622084466002,0.7556354403495789,0.7946885824203491,0.7306976318359375,0.46493789553642273,0.7137700319290161,0.32150182127952576
H02,0.17169531905471788,0.34231772160082313,-0.10922193059057853,0.822115957736969,0.8565055727958679,0.7878067493438721,0.3474503755569458,0.3955160081386566,0.30523768067359924,-0.10523494501470845,0.5082796050466947,-0.3444284473438468,0.6858996152877808,0.7471763491630554,0.6165930032730103,0.2864588499069214,0.5388231873512268,0.1577131599187851,-0.17810260672030212,-0.0033147609848311428,-0.33561053218118064,0.7597600221633911,0.8095214366912842,0.6925411224365234,0.2437383383512497,0.4143056273460388,0.09917247295379639,-0.1503837563265611,0.010305761445453577,-0.24919969470173284,0.7448591589927673,0.8413859009742737,0.6736372709274292,0.3391706645488739,0.5027007460594177,0.1958739012479782
H03,-0.1483068324553629,0.9999626286344168,-0.2943088028131827,0.7027286887168884,0.8580200672149658,0.6086782217025757,0.29081353545188904,0.5391578674316406,0.10016471892595291,-0.07580596255972705,0.3991889869425778,-0.3715974529962361,0.6429056525230408,0.7365900278091431,0.5664342641830444,0.24897843599319458,0.42043519020080566,0.14359667897224426,-0.1368962258835387,0.06053077949690471,-0.3596541552530062,0.7992315292358398,0.8484156727790833,0.7045798897743225,0.37697672843933105,0.5349210500717163,0.2675643265247345,-0.1730729766901176,0.06356578113947577,-0.2844781341662299,0.7231325507164001,0.8350206017494202,0.5950484275817871,0.2845635414123535,0.4614030420780182,0.15016116201877594
H04,-0.20072186666189004,-0.023217763949036956,-0.45517058508683794,0.6864016652107239,0.8285671472549438,0.5700151920318604,0.2284654676914215,0.3662206530570984,0.1260756105184555,-0.21353524763780177,-0.053517744330790956,-0.4268434068390829,0.6384556889533997,0.7705357670783997,0.5576528310775757,0.21678699553012848,0.3163397014141083,0.11461733281612396,-0.16093403018040628,0.11599765919359213,-0.3038659240730412,0.6362265944480896,0.7942410707473755,0.48214656114578247,0.2484462410211563,0.5194424986839294,0.16381582617759705,-0.15818646462440644,0.07282311728300488,-0.32826522793218516,0.6753082275390625,0.8403383493423462,0.5795800685882568,0.22598057985305786,0.4671008586883545,0.13958381116390228
H05,-0.21625965593943344,-0.08476410129428218,-0.39268335367814755,0.6935276389122009,0.7863783836364746,0.5717740058898926,0.30909809470176697,0.45599642395973206,0.19779923558235168,-0.06437149300990098,0.6109468709084608,-0.2394540899642256,0.6999735832214355,0.8309761881828308,0.5546218752861023,0.3068452775478363,0.6528390645980835,0.19933173060417175,-0.17115741515166955,0.039878502146302536,-0.36410100177071614,0.7201781272888184,0.7660760879516602,0.6376180052757263,0.39037638902664185,0.4854147136211395,0.2789921462535858,-0.14401329048756367,0.25245082625089516,-0.36702681540659104,0.6810164451599121,0.7736527323722839,0.4827502965927124,0.31186482310295105,0.560254693031311,0.17865489423274994
H06,-0.11505685947237394,0.15309502920425014,-0.251775988754907,0.7790426015853882,0.870590329170227,0.6999771595001221,0.3388388752937317,0.5015110373497009,0.23722562193870544,-0.019830174085902378,0.4715873223548191,-0.24443093811096026,0.7325667142868042,0.7903833985328674,0.6701145768165588,0.3101058602333069,0.40637123584747314,0.21219919621944427,-0.06830397083305517,-0.012310557231941306,-0.19971944787150447,0.7228702306747437,0.7572752237319946,0.6677362322807312,0.3685552775859833,0.5264151096343994,0.2686677575111389,-0.10045451330966143,0.09654065011911171,-0.2863795156189335,0.7444556355476379,0.7937905788421631,0.679410457611084,0.32845795154571533,0.49724534153938293,0.16100755333900452
H07,-0.059394957796085585,0.39022316984559896,-0.3167226275698115,0.71323162317276,0.8894505500793457,0.6332560181617737,0.34249818325042725,0.6606950163841248,0.19580549001693726,-0.10813041355204864,0.9813533984066483,-0.3055386684136404,0.7081122398376465,0.8796730041503906,0.6259090304374695,0.25887662172317505,0.6371095180511475,0.11710610240697861,-0.13998177081018232,0.029516460590266188,-0.3722328429787065,0.690536379814148,0.7722455859184265,0.619465172290802,0.2727993130683899,0.39657121896743774,0.20627233386039734,-0.11043050798110586,0.25645313573166595,-0.3647540394953997,0.6517042517662048,0.8586280345916748,0.5816521048545837,0.2971491515636444,0.5401855111122131,0.12445748597383499
H08,-0.09676754494218953,0.9999995047406295,-0.37283937203729406,0.7208523750305176,0.9094258546829224,0.5834689736366272,0.3090037405490875,0.6503350138664246,0.1740729659795761,-0.15559326463114495,0.14677391519074542,-0.3359090789905455,0.6958505511283875,0.7993763089179993,0.613083004951477,0.33127740025520325,0.45635196566581726,0.24072296917438507,-0.15609597800234898,0.1522845899722978,-0.33394916198633434,0.7516689896583557,0.8535470366477966,0.6457786560058594,0.3543719947338104,0.45694345235824585,0.2715129852294922,-0.10259496293704248,0.3648879106067416,-0.3246361027308154,0.7465752959251404,0.8341423273086548,0.6588909029960632,0.2687259316444397,0.4297194480895996,0.1438329517841339
H09,-0.11478536032322176,-0.04703857726253983,-0.2794654450749494,0.7260736227035522,0.7894592881202698,0.6213163137435913,0.268146276473999,0.37562114000320435,0.17753401398658752,0.014524480535289803,0.5035486940596192,-0.2846424039142469,0.7231065630912781,0.8866087794303894,0.5522821545600891,0.41308706998825073,0.6388261318206787,0.2427724152803421,0.011832264536233745,0.27163412978340457,-0.25490523443133106,0.7436718940734863,0.7657150626182556,0.7059280872344971,0.471707820892334,0.5330318212509155,0.37044838070869446,-0.03531115364557659,0.17159568860305313,-0.13943592571837105,0.7350702285766602,0.8034332990646362,0.6842045187950134,0.38941454887390137,0.5077513456344604,0.29982030391693115
H10,-0.17196187911969785,0.08839135868959996,-0.40720302491435656,0.768314778804779,0.8235177397727966,0.6536573767662048,0.28024739027023315,0.36237767338752747,0.23609711229801178,-0.12103903174469388,-0.001606638891838448,-0.25962408833611506,0.6815460920333862,0.8312232494354248,0.5771268606185913,0.30218181014060974,0.3902609944343567,0.2106851488351822,-0.16830762925450218,0.03715336254096849,-0.3826173910487507,0.6703911423683167,0.749654233455658,0.525183916091919,0.3222881555557251,0.6069119572639465,0.18769943714141846,-0.14166650257572222,0.09034753949203042,-0.27347845371120355,0.709087610244751,0.8394862413406372,0.5872607827186584,0.26864925026893616,0.35853850841522217,0.1321992427110672
