ID,mean_semi_loc_coh_sif,mean_semi_loc_coh_bert,mean_semi_loc_coh_elmo,max_semi_loc_coh_sif,max_semi_loc_coh_bert,max_semi_loc_coh_elmo,min_semi_loc_coh_sif,min_semi_loc_coh_bert,min_semi_loc_coh_elmo,mean_loc_coh_sif,mean_loc_coh_bert,mean_loc_coh_elmo,max_loc_coh_sif,max_loc_coh_bert,max_loc_coh_elmo,min_loc_coh_sif,min_loc_coh_bert,min_loc_coh_elmo,mean_glob_coh_sif,mean_glob_coh_bert,mean_glob_coh_elmo,max_glob_coh_sif,max_glob_coh_bert,max_glob_coh_elmo,min_glob_coh_sif,min_glob_coh_bert,min_glob_coh_elmo,mean_control_glob_coh_sif,mean_control_glob_coh_bert,mean_control_glob_coh_elmo,max_control_glob_coh_sif,max_control_glob_coh_bert,max_control_glob_coh_elmo,min_control_glob_coh_sif,min_control_glob_coh_bert,min_control_glob_coh_elmo,mean_cum_coh_sif,mean_cum_coh_bert,mean_cum_coh_elmo,max_cum_coh_sif,max_cum_coh_bert,max_cum_coh_elmo,min_cum_coh_sif,min_cum_coh_bert,min_cum_coh_elmo
H01,0.2390556465167395,0.8041227459907532,0.6122514605522156,0.5534249348877309,0.8874335289001465,0.7133316397666931,-0.053172042486331256,0.7293975949287415,0.5159319043159485,0.2390556465167395,0.8041227459907532,0.6122514605522156,0.5534249348877309,0.8874335289001465,0.7133316397666931,-0.053172042486331256,0.7293975949287415,0.5159319043159485,0.31004991220628386,0.8598065972328186,0.6805618405342102,0.42692640004799154,0.9219586253166199,0.7769810557365417,0.05248259786849726,0.8262162208557129,0.48933255672454834,0.29919007810415,0.8600699305534363,0.6826546788215637,0.46368170937461767,0.9235340356826782,0.7822170257568359,0.06244838123426884,0.8255785703659058,0.49267932772636414,-0.05318423613295993,0.7139104008674622,0.4311068058013916,0.0952887526564529,0.7954422235488892,0.5756056308746338,-0.13685062688353425,0.5979037880897522,0.2835473418235779
H02,0.15434807596912933,0.8919864296913147,0.6079571843147278,0.6057129307203699,0.9365801811218262,0.7882556915283203,-0.24785772835681244,0.7843539714813232,0.2502484619617462,0.15434807596912933,0.8919864296913147,0.6079571843147278,0.6057129307203699,0.9365801811218262,0.7882556915283203,-0.24785772835681244,0.7843539714813232,0.2502484619617462,0.14513755245804513,0.9036349058151245,0.6496793031692505,0.3937067110547854,0.935553789138794,0.7929286956787109,-0.11381337288702487,0.8455365300178528,0.27059316635131836,0.11389008608752882,0.9029365181922913,0.6443136930465698,0.398429645132916,0.9354314208030701,0.796218991279602,-0.10710506499681675,0.8434981107711792,0.2783309519290924,-0.17810260672030212,0.7597600221633911,0.2437383383512497,-0.0033147609848311428,0.8095214366912842,0.4143056273460388,-0.33561053218118064,0.6925411224365234,0.09917247295379639
H03,0.12956574167747859,0.8875591158866882,0.5979311466217041,0.5269451708906994,0.9204415082931519,0.7553509473800659,-0.09545412845597512,0.8267045021057129,0.38681158423423767,0.12956574167747859,0.8875591158866882,0.5979311466217041,0.5269451708906994,0.9204415082931519,0.7553509473800659,-0.09545412845597512,0.8267045021057129,0.38681158423423767,0.20124903020276677,0.9087454080581665,0.663379967212677,0.42919635232287295,0.9277594089508057,0.7747964859008789,-0.20323985515860543,0.8490480184555054,0.47400951385498047,0.18213893671573295,0.9079509377479553,0.660449743270874,0.4541878599009786,0.9262607097625732,0.7723772525787354,-0.17837440081371414,0.8450602889060974,0.4684731066226959,-0.1368962258835387,0.7992315292358398,0.37697672843933105,0.06053077949690471,0.8484156727790833,0.5349210500717163,-0.3596541552530062,0.7045798897743225,0.2675643265247345
H04,0.13096455196704818,0.8724772334098816,0.6051508188247681,0.428564686349259,0.9210359454154968,0.78971266746521,-0.16746909324437864,0.6971611976623535,0.35886451601982117,0.13096455196704818,0.8724772334098816,0.6051508188247681,0.428564686349259,0.9210359454154968,0.78971266746521,-0.16746909324437864,0.6971611976623535,0.35886451601982117,0.20858620741310385,0.882943332195282,0.6343265175819397,0.5907506038901685,0.9294127821922302,0.7936375737190247,-0.02528196171334138,0.7140903472900391,0.34841057658195496,0.17649533582045693,0.8826513886451721,0.6311015486717224,0.5746016435771862,0.9291620850563049,0.7879231572151184,-0.10879917972303028,0.7101354002952576,0.34178847074508667,-0.16093403018040628,0.6362265944480896,0.2484462410211563,0.11599765919359213,0.7942410707473755,0.5194424986839294,-0.3038659240730412,0.48214656114578247,0.16381582617759705
H05,0.1943415336483537,0.8929068446159363,0.6799036264419556,0.6572940654221564,0.9329491257667542,0.8046968579292297,-0.16361908901855984,0.6834138035774231,0.39469942450523376,0.1943415336483537,0.8929068446159363,0.6799036264419556,0.6572940654221564,0.9329491257667542,0.8046968579292297,-0.16361908901855984,0.6834138035774231,0.39469942450523376,0.21836187526007414,0.9029863476753235,0.7036209106445312,0.4580693548562177,0.9354017376899719,0.8051922917366028,-0.09878530011010704,0.8309570550918579,0.5505719780921936,0.19950398811611889,0.9030377864837646,0.7026147842407227,0.48292941268465883,0.9348393678665161,0.8076347708702087,-0.1782599115948984,0.8264088034629822,0.5508602261543274,-0.17115741515166955,0.7201781272888184,0.39037638902664185,0.039878502146302536,0.7660760879516602,0.4854147136211395,-0.36410100177071614,0.6376180052757263,0.2789921462535858
H06,0.15511662506080096,0.8459298014640808,0.5735974311828613,0.4779524941631203,0.8983127474784851,0.7238048315048218,-0.06259953925572165,0.7561861276626587,0.37759026885032654,0.15511662506080096,0.8459298014640808,0.5735974311828613,0.4779524941631203,0.8983127474784851,0.7238048315048218,-0.06259953925572165,0.7561861276626587,0.37759026885032654,0.23448900464560868,0.8835902214050293,0.6615509986877441,0.5505265294914846,0.9173277616500854,0.7691708207130432,0.09808305958781141,0.836812436580658,0.5019421577453613,0.18252954900374085,0.8826217651367188,0.6574402451515198,0.5583501478300382,0.9191734194755554,0.770537257194519,0.017430964268859386,0.8313987255096436,0.48683393001556396,-0.06830397083305517,0.7228702306747437,0.3685552775859833,-0.012310557231941306,0.7572752237319946,0.5264151096343994,-0.19971944787150447,0.6677362322807312,0.2686677575111389
H07,0.0648572465519049,0.8492701649665833,0.5468723177909851,0.543968715434752,0.9102845788002014,0.7049691081047058,-0.14258605422068427,0.7722455859184265,0.35101908445358276,0.0648572465519049,0.8492701649665833,0.5468723177909851,0.543968715434752,0.9102845788002014,0.7049691081047058,-0.14258605422068427,0.7722455859184265,0.35101908445358276,0.1637917219196058,0.8778208494186401,0.632317066192627,0.4013494657584912,0.9331227540969849,0.780978262424469,-0.010421350284195819,0.8143873810768127,0.41134610772132874,0.13839769362328294,0.8775673508644104,0.627799391746521,0.3815398465457722,0.9319639205932617,0.7783278822898865,-0.026199172502707466,0.8138589859008789,0.40732961893081665,-0.13998177081018232,0.690536379814148,0.2727993130683899,0.029516460590266188,0.7722455859184265,0.39657121896743774,-0.3722328429787065,0.619465172290802,0.20627233386039734
H08,0.1392014497474005,0.8777594566345215,0.6362128257751465,0.5153319337994055,0.9380513429641724,0.7882763147354126,-0.20607392692341758,0.811486542224884,0.42828673124313354,0.1392014497474005,0.8777594566345215,0.6362128257751465,0.5153319337994055,0.9380513429641724,0.7882763147354126,-0.20607392692341758,0.811486542224884,0.42828673124313354,0.1999956561993895,0.8928791284561157,0.6746861338615417,0.5963337222632908,0.9370570778846741,0.7908906936645508,-0.017086252336847914,0.8116984963417053,0.4727403223514557,0.18139205885213794,0.8913936614990234,0.6676281690597534,0.5975848932698556,0.9350448250770569,0.7905836701393127,-0.0653266499271325,0.8092148900032043,0.45965248346328735,-0.15609597800234898,0.7516689896583557,0.3543719947338104,0.1522845899722978,0.8535470366477966,0.45694345235824585,-0.33394916198633434,0.6457786560058594,0.2715129852294922
H09,0.15824550242357233,0.8370893597602844,0.6736631393432617,0.28938564776619485,0.8712663054466248,0.7715880870819092,0.02245254149999419,0.7525662779808044,0.4755822420120239,0.15824550242357233,0.8370893597602844,0.6736631393432617,0.28938564776619485,0.8712663054466248,0.7715880870819092,0.02245254149999419,0.7525662779808044,0.4755822420120239,0.31985006834676655,0.8647474050521851,0.7489041686058044,0.5446954653845054,0.9281467795372009,0.8202131986618042,0.16939714903315106,0.8133518695831299,0.681334376335144,0.2855592170571572,0.8619218468666077,0.7406991720199585,0.46401085091823396,0.9290722608566284,0.8126645684242249,0.1302721445165374,0.8089683651924133,0.6739230155944824,0.011832264536233745,0.7436718940734863,0.471707820892334,0.27163412978340457,0.7657150626182556,0.5330318212509155,-0.25490523443133106,0.7059280872344971,0.37044838070869446
H10,0.20427146633071688,0.8850755095481873,0.6540154218673706,0.561859970708599,0.9287882447242737,0.8254839777946472,-0.2950196922001165,0.7027591466903687,0.4887613356113434,0.20427146633071688,0.8850755095481873,0.6540154218673706,0.561859970708599,0.9287882447242737,0.8254839777946472,-0.2950196922001165,0.7027591466903687,0.4887613356113434,0.2110632874204434,0.8915390968322754,0.6720219850540161,0.6054748095150209,0.9368213415145874,0.8284570574760437,-0.14835058147656735,0.7461954951286316,0.4896596074104309,0.17858170265536108,0.8914518356323242,0.6697834134101868,0.603419470979282,0.9342418909072876,0.8250669836997986,-0.14819877337889392,0.7441277503967285,0.4891416132450104,-0.16830762925450218,0.6703911423683167,0.3222881555557251,0.03715336254096849,0.749654233455658,0.6069119572639465,-0.3826173910487507,0.525183916091919,0.18769943714141846
H11,0.11232726818391194,0.8811342716217041,0.6263650059700012,0.8209395490782809,0.9346458315849304,0.7732778787612915,-0.21866462426864905,0.7738198041915894,0.40193071961402893,0.11232726818391194,0.8811342716217041,0.6263650059700012,0.8209395490782809,0.9346458315849304,0.7732778787612915,-0.21866462426864905,0.7738198041915894,0.40193071961402893,0.1284375737328785,0.8936789631843567,0.6617732048034668,0.4513082985280994,0.9369360208511353,0.7707211375236511,-0.1287760392844676,0.7789031863212585,0.5365345478057861,0.12469910942202914,0.8929393887519836,0.6569218635559082,0.4560004477851387,0.9381151795387268,0.7744912505149841,-0.10787646057152671,0.7752856612205505,0.5279163122177124,-0.20482920624400336,0.7238584756851196,0.34782058000564575,0.058191752177850616,0.8529726266860962,0.4935672879219055,-0.37284790055764716,0.6282787919044495,0.26151859760284424
