ID,mean_semi_loc_coh_sif,mean_semi_loc_coh_bert,mean_semi_loc_coh_elmo,max_semi_loc_coh_sif,max_semi_loc_coh_bert,max_semi_loc_coh_elmo,min_semi_loc_coh_sif,min_semi_loc_coh_bert,min_semi_loc_coh_elmo,mean_loc_coh_sif,mean_loc_coh_bert,mean_loc_coh_elmo,max_loc_coh_sif,max_loc_coh_bert,max_loc_coh_elmo,min_loc_coh_sif,min_loc_coh_bert,min_loc_coh_elmo,mean_glob_coh_sif,mean_glob_coh_bert,mean_glob_coh_elmo,max_glob_coh_sif,max_glob_coh_bert,max_glob_coh_elmo,min_glob_coh_sif,min_glob_coh_bert,min_glob_coh_elmo,mean_control_glob_coh_sif,mean_control_glob_coh_bert,mean_control_glob_coh_elmo,max_control_glob_coh_sif,max_control_glob_coh_bert,max_control_glob_coh_elmo,min_control_glob_coh_sif,min_control_glob_coh_bert,min_control_glob_coh_elmo,mean_cum_coh_sif,mean_cum_coh_bert,mean_cum_coh_elmo,max_cum_coh_sif,max_cum_coh_bert,max_cum_coh_elmo,min_cum_coh_sif,min_cum_coh_bert,min_cum_coh_elmo
H01,0.19647877846704342,0.877312183380127,0.5988736152648926,0.8652195332821349,0.9236742854118347,0.7707827687263489,-0.16311530649756986,0.7480022311210632,0.34473687410354614,0.19647877846704342,0.877312183380127,0.5988736152648926,0.8652195332821349,0.9236742854118347,0.7707827687263489,-0.16311530649756986,0.7480022311210632,0.34473687410354614,0.09230850904394172,0.8734313249588013,0.5920788049697876,0.6521974413378306,0.9259237051010132,0.8116454482078552,-0.30758559260675,0.7614497542381287,0.4151305556297302,0.1421376810283827,0.8844459056854248,0.6123358011245728,0.6154225712608314,0.9278249144554138,0.7919764518737793,-0.18281067424887118,0.7574573159217834,0.4420434236526489,-0.11623024180099943,0.7124953866004944,0.2857484817504883,0.34335951980754936,0.8571838736534119,0.5939143896102905,-0.3329681489769802,0.6113128066062927,0.1823265105485916
H02,0.40807572632007794,0.8544829487800598,0.606909990310669,0.8733835424952451,0.9144627451896667,0.7708099484443665,-0.288973697421308,0.6935724020004272,0.44370269775390625,0.40807572632007794,0.8544829487800598,0.606909990310669,0.8733835424952451,0.9144627451896667,0.7708099484443665,-0.288973697421308,0.6935724020004272,0.44370269775390625,0.4056253590837708,0.8707537055015564,0.6407800316810608,0.8028232873613546,0.9299935698509216,0.7900421619415283,-0.317702530275814,0.8172121047973633,0.43810755014419556,0.37633947463326367,0.8634499907493591,0.6332738995552063,0.7545328932275107,0.9310071468353271,0.7678655982017517,-0.24257036282506222,0.7894099950790405,0.4384728968143463,-0.10523494501470845,0.6858996152877808,0.2864588499069214,0.5082796050466947,0.7471763491630554,0.5388231873512268,-0.3444284473438468,0.6165930032730103,0.1577131599187851
H03,0.39356624107440125,0.8562920093536377,0.6106101274490356,0.7750205165712503,0.9220312833786011,0.7697590589523315,-0.23682830273984604,0.6965852975845337,0.3129158020019531,0.39356624107440125,0.8562920093536377,0.6106101274490356,0.7750205165712503,0.9220312833786011,0.7697590589523315,-0.23682830273984604,0.6965852975845337,0.3129158020019531,0.4470099985108519,0.8712220191955566,0.6465910077095032,0.7957134900524697,0.9266424775123596,0.7787151336669922,-0.10339044379154284,0.7686271667480469,0.46966248750686646,0.42156245281045834,0.8655098676681519,0.6358168125152588,0.7517879592453756,0.9282688498497009,0.7672889828681946,-0.0570949364460107,0.7534523606300354,0.44978147745132446,-0.07580596255972705,0.6429056525230408,0.24897843599319458,0.3991889869425778,0.7365900278091431,0.42043519020080566,-0.3715974529962361,0.5664342641830444,0.14359667897224426
H04,0.21260484635438578,0.8764533400535583,0.6482557058334351,0.593030266261529,0.933040201663971,0.8217311501502991,-0.13384271644030973,0.6827911734580994,0.3057800829410553,0.21260484635438578,0.8764533400535583,0.6482557058334351,0.593030266261529,0.933040201663971,0.8217311501502991,-0.13384271644030973,0.6827911734580994,0.3057800829410553,0.22510039774123197,0.8760834336280823,0.634129524230957,0.7576216120769067,0.93712317943573,0.8013602495193481,-0.30380042070978164,0.7397803664207458,0.2832548916339874,0.22843373618335905,0.878869891166687,0.6282896995544434,0.7049534742552107,0.9369255304336548,0.78802889585495,-0.18281067424887118,0.7287992238998413,0.27300289273262024,-0.21353524763780177,0.6384556889533997,0.21678699553012848,-0.053517744330790956,0.7705357670783997,0.3163397014141083,-0.4268434068390829,0.5576528310775757,0.11461733281612396
H05,0.49760666651758756,0.8755741119384766,0.655129611492157,0.8084821843442467,0.9290392398834229,0.8088919520378113,-0.11288177545957838,0.7984256148338318,0.396096795797348,0.49760666651758756,0.8755741119384766,0.655129611492157,0.8084821843442467,0.9290392398834229,0.8088919520378113,-0.11288177545957838,0.7984256148338318,0.396096795797348,0.5048423396113781,0.8788660764694214,0.6592923998832703,0.8287799181109748,0.9291979074478149,0.7718979120254517,-0.05671890440222882,0.7714569568634033,0.4550807774066925,0.46555620317784263,0.8688028454780579,0.6385075449943542,0.7644049905901399,0.9307389855384827,0.7464786171913147,-0.05744607092284087,0.7390298247337341,0.46531784534454346,-0.06437149300990098,0.6999735832214355,0.3068452775478363,0.6109468709084608,0.8309761881828308,0.6528390645980835,-0.2394540899642256,0.5546218752861023,0.19933173060417175
H06,0.498304377656148,0.8808167576789856,0.6233822703361511,0.7961718170093014,0.9348388314247131,0.7966381907463074,-0.08427276862523453,0.6791980862617493,0.2853413224220276,0.498304377656148,0.8808167576789856,0.6233822703361511,0.7961718170093014,0.9348388314247131,0.7966381907463074,-0.08427276862523453,0.6791980862617493,0.2853413224220276,0.5156988345302553,0.8945804834365845,0.640116274356842,0.7934428060941401,0.9339931607246399,0.7566278576850891,-0.10742914083706831,0.8385772705078125,0.44001394510269165,0.47093812004436747,0.8890289068222046,0.6205677390098572,0.7355273778852218,0.9332420229911804,0.7510934472084045,-0.05055009743809086,0.8144350051879883,0.436021089553833,-0.019830174085902378,0.7325667142868042,0.3101058602333069,0.4715873223548191,0.7903833985328674,0.40637123584747314,-0.24443093811096026,0.6701145768165588,0.21219919621944427
H07,0.43890281664472885,0.8806667923927307,0.6163762211799622,0.9813533984066483,0.9348260164260864,0.7904485464096069,-0.2461671625038508,0.7772195935249329,0.33462756872177124,0.43890281664472885,0.8806667923927307,0.6163762211799622,0.9813533984066483,0.9348260164260864,0.7904485464096069,-0.2461671625038508,0.7772195935249329,0.33462756872177124,0.48742043379088945,0.8893710970878601,0.6439177989959717,0.8573340404963921,0.934712290763855,0.8053178787231445,-0.24735093779662787,0.8084577918052673,0.3935062289237976,0.4526789280498722,0.8893831372261047,0.6305583715438843,0.8031005415934733,0.938372790813446,0.7745761275291443,-0.22090613989125113,0.784106969833374,0.39333122968673706,-0.10813041355204864,0.7081122398376465,0.25887662172317505,0.9813533984066483,0.8796730041503906,0.6371095180511475,-0.3055386684136404,0.6259090304374695,0.11710610240697861
H08,0.5507934591264037,0.8695257306098938,0.6670719385147095,0.8642145944955671,0.9247469902038574,0.821684718132019,-0.17231099986429338,0.7565359473228455,0.389703631401062,0.5507934591264037,0.8695257306098938,0.6670719385147095,0.8642145944955671,0.9247469902038574,0.821684718132019,-0.17231099986429338,0.7565359473228455,0.389703631401062,0.5843182891860732,0.8746123909950256,0.6821247339248657,0.8679943315679678,0.925550103187561,0.7784565091133118,-0.02908648050728145,0.7867768406867981,0.47887739539146423,0.5402038036994291,0.8621240854263306,0.6622994542121887,0.7888425524471187,0.9282398819923401,0.7705957889556885,0.015155843496978337,0.7637438774108887,0.47336652874946594,-0.15559326463114495,0.6958505511283875,0.33127740025520325,0.14677391519074542,0.7993763089179993,0.45635196566581726,-0.3359090789905455,0.613083004951477,0.24072296917438507
H09,0.4420760276293065,0.8796528577804565,0.6800565719604492,0.8275766802293085,0.9278694987297058,0.8058189749717712,-0.17877951449842225,0.778541088104248,0.4226471483707428,0.4420760276293065,0.8796528577804565,0.6800565719604492,0.8275766802293085,0.9278694987297058,0.8058189749717712,-0.17877951449842225,0.778541088104248,0.4226471483707428,0.46666035281722895,0.8900836110115051,0.7037875652313232,0.8294044616080515,0.9370121955871582,0.8252249956130981,-0.20334876153839254,0.8120939135551453,0.4517582654953003,0.4508099198221702,0.8847001194953918,0.6931718587875366,0.7698622331743719,0.9335126876831055,0.8203792572021484,-0.09115212971778454,0.8048413395881653,0.451290488243103,0.014524480535289803,0.7231065630912781,0.41308706998825073,0.5035486940596192,0.8866087794303894,0.6388261318206787,-0.2846424039142469,0.5522821545600891,0.2427724152803421
H10,0.4742023216956479,0.884739875793457,0.6588465571403503,0.8582728542515551,0.9353880286216736,0.832440197467804,-0.16140614689359875,0.7468032240867615,0.3206325173377991,0.4742023216956479,0.884739875793457,0.6588465571403503,0.8582728542515551,0.9353880286216736,0.832440197467804,-0.16140614689359875,0.7468032240867615,0.3206325173377991,0.5225066191366142,0.8944483399391174,0.68958979845047,0.8432034528076174,0.9376757740974426,0.8316983580589294,-0.10278080448375387,0.7510544061660767,0.4842712879180908,0.4895281600010078,0.8922061324119568,0.6765303015708923,0.7832543257269344,0.9400832056999207,0.8027477264404297,-0.051338672258137846,0.7245593070983887,0.49739697575569153,-0.12103903174469388,0.6815460920333862,0.30218181014060974,-0.001606638891838448,0.8312232494354248,0.3902609944343567,-0.25962408833611506,0.5771268606185913,0.2106851488351822
